path,working_copy_revision,last_changed_revision,last_changed_author,sha1_checksum,present_in_archive
README,230,144,moreno,3e94e7c32e0b6efdd0c4aaa662b257974a7b7ced,yes
build/modpn.files,230,52,panwei,681b5d1966abeef1d7b235c22d96b62d972e1cfe,yes
cumodp/benchmarks/Makefile,230,124,jyang425,bbc3a1fadf438af1beec3da73dd6874a852e153f,yes
cumodp/benchmarks/ToDo,230,216,moreno,4bab2c757b5e1974e3e8a53e6b002570d5c99400,yes
cumodp/benchmarks/data/fast_evaluation.dat,230,139,jyang425,bcdb23b31da84fb1ae1b99a07663e5dfa5b162bf,no
cumodp/benchmarks/data/fast_evaluation_step.dat,230,140,jyang425,7c4c85ad7b2a95262926d2f59fd0f7dbef5c781c,no
cumodp/benchmarks/data/fast_evaluation_step.eps,230,146,jyang425,f9c5d3f22480399b86d7ffb1f8e5150ffd8ef9ec,no
cumodp/benchmarks/data/fast_evaluation_step.plt,230,146,jyang425,9bba2de4b801cf4b89c30364182dd6c9eb238ad2,no
cumodp/benchmarks/data/fft_mul.dat,230,139,jyang425,d70c582a396a561cf940b7988f0023dd38cd95eb,no
cumodp/benchmarks/data/fft_mul.plt,230,146,jyang425,5c87fac9018cd2dfe9fca3b4997f66ff1d8f7018,no
cumodp/benchmarks/data/fft_with_opt.dat,230,145,jyang425,bd2e593ef8065380def79f8f2aa38d2d1b5b8a4f,no
cumodp/benchmarks/data/opt_plain_mul_tst.log,230,145,jyang425,831d8ad132c940d3de0963ee83e1ac716af671bc,no
cumodp/benchmarks/data/sub_product_tree_step.eps,230,146,jyang425,ba1effb710e87c9af2e30768d1c239ef15095dd1,no
cumodp/benchmarks/data/subproduct_tree.dat,230,139,jyang425,5bdced8170f4eda2af07750f915f2c80709039b1,no
cumodp/benchmarks/data/subproducttree_step.dat,230,139,jyang425,aec6ac7b5ee58a6ca215be242e1cf6a053a910b4,no
cumodp/benchmarks/data/subproducttree_step.plt,230,146,jyang425,ecfb65fadfae7e4ef7f97412894598d8904a3078,no
cumodp/benchmarks/fast_evaluation.sh,230,193,jyang425,cd3fc82bc5da494a2f595504fe6b69962a79ec98,yes
cumodp/benchmarks/fast_evaluation_step.sh,230,186,jyang425,581aede24d2a960048678200095a656458110fc3,yes
cumodp/benchmarks/optimized_mul.sh,230,134,jyang425,6cb5406c038afd60aaaf907502ac3b8c5d18d9c4,yes
cumodp/benchmarks/stockham_poly_mul.sh,230,140,jyang425,1e34cf8bb06d355eb222559f97f9a23bba988bdd,yes
cumodp/benchmarks/subproduct_tree_construction.sh,230,194,moreno,72ba6f716d772c17db461918cd7895e901d2ff92,yes
cumodp/benchmarks/subproduct_tree_step.sh,230,195,jyang425,1605892a97abc601cc099526f09af331568fc8a4,yes
cumodp/include/README,230,67,panwei,b76fbc6ceb5173ef805ab80e7d6f79db499cac62,no
cumodp/include/ct_fft.h,230,37,panwei,048e73ad45317b1f56f05a73ddd6139797a6706c,yes
cumodp/include/ct_fft_mont.h,230,37,panwei,020a108cc291343fe5952d07612c4279a8612634,yes
cumodp/include/cudautils.h,230,37,panwei,201613c2ad0098f26aa37b53df2a7f2a61f394b2,yes
